fx,fy,cx,cy,R11,R12,R13,R21,R22,R23,R31,R32,R33,T1,T2,T3
923.620728,923.544800,649.786255,361.157776,0.896787,0.440724,-0.039191,0.139795,-0.366261,-0.919951,-0.419799,0.819521,-0.390069,-0.144397,0.107314,1.254981
638.773438,638.773438,631.960083,342.314453,0.895697,0.442175,-0.047003,0.132916,-0.367106,-0.920634,-0.424336,0.818361,-0.387588,-0.152769,0.111027,1.255319
638.773438,638.773438,631.960083,342.314453,0.895697,0.442175,-0.047003,0.132916,-0.367106,-0.920634,-0.424336,0.818361,-0.387588,-0.202580,0.111027,1.255319
925.355957,925.826294,649.697632,359.535522,0.924470,-0.380712,0.020346,-0.144845,-0.400087,-0.904959,0.352669,0.833660,-0.425013,-0.113017,0.127158,1.070137
633.817688,633.817688,627.114258,343.925964,0.919939,-0.391592,0.019191,-0.148542,-0.393422,-0.907278,0.362833,0.831790,-0.420092,-0.137951,0.133176,1.067622
633.817688,633.817688,627.114258,343.925964,0.919939,-0.391592,0.019191,-0.148542,-0.393422,-0.907278,0.362833,0.831790,-0.420092,-0.187857,0.133176,1.067622
fx,fy,cx,cy,R11,R12,R13,R21,R22,R23,R31,R32,R33,T1,T2,T3
923.620728,923.544800,649.786255,361.157776,0.859166,-0.511223,-0.022036,-0.225276,-0.339232,-0.913330,0.459440,0.789666,-0.406623,0.041221,0.189346,0.783509
638.773438,638.773438,631.960083,342.314453,0.859830,-0.509706,-0.029884,-0.229737,-0.333950,-0.914166,0.455976,0.792892,-0.404238,0.031164,0.190687,0.782781
638.773438,638.773438,631.960083,342.314453,0.859830,-0.509706,-0.029884,-0.229737,-0.333950,-0.914166,0.455976,0.792892,-0.404238,-0.018648,0.190687,0.782781
925.355957,925.826294,649.697632,359.535522,0.842289,0.538486,0.024148,0.227169,-0.313994,-0.921847,-0.488819,0.781947,-0.386801,-0.308455,0.156955,0.903775
633.817688,633.817688,627.114258,343.925964,0.848580,0.528588,0.022501,0.219546,-0.313120,-0.923989,-0.481364,0.789019,-0.381757,-0.331502,0.163273,0.899122
633.817688,633.817688,627.114258,343.925964,0.848580,0.528588,0.022501,0.219546,-0.313120,-0.923989,-0.481364,0.789019,-0.381757,-0.381408,0.163273,0.899122
